Date,Year,Month,MonthName,WeekStartDate,DayName,IsWeekend
2026-08-03,2026,8,August,2026-08-03,Monday,False
2026-08-04,2026,8,August,2026-08-03,Tuesday,False
2026-08-05,2026,8,August,2026-08-03,Wednesday,False
2026-08-06,2026,8,August,2026-08-03,Thursday,False
2026-08-07,2026,8,August,2026-08-03,Friday,False
2026-08-08,2026,8,August,2026-08-03,Saturday,True
2026-08-09,2026,8,August,2026-08-03,Sunday,True
2026-08-10,2026,8,August,2026-08-10,Monday,False
2026-08-11,2026,8,August,2026-08-10,Tuesday,False
2026-08-12,2026,8,August,2026-08-10,Wednesday,False
2026-08-13,2026,8,August,2026-08-10,Thursday,False
2026-08-14,2026,8,August,2026-08-10,Friday,False
2026-08-15,2026,8,August,2026-08-10,Saturday,True
2026-08-16,2026,8,August,2026-08-10,Sunday,True
2026-08-17,2026,8,August,2026-08-17,Monday,False
2026-08-18,2026,8,August,2026-08-17,Tuesday,False
2026-08-19,2026,8,August,2026-08-17,Wednesday,False
2026-08-20,2026,8,August,2026-08-17,Thursday,False
2026-08-21,2026,8,August,2026-08-17,Friday,False
2026-08-22,2026,8,August,2026-08-17,Saturday,True
2026-08-23,2026,8,August,2026-08-17,Sunday,True
2026-08-24,2026,8,August,2026-08-24,Monday,False
2026-08-25,2026,8,August,2026-08-24,Tuesday,False
2026-08-26,2026,8,August,2026-08-24,Wednesday,False
2026-08-27,2026,8,August,2026-08-24,Thursday,False
2026-08-28,2026,8,August,2026-08-24,Friday,False
2026-08-29,2026,8,August,2026-08-24,Saturday,True
2026-08-30,2026,8,August,2026-08-24,Sunday,True
