WorkOrderID,StationID,AssetType,Priority,OpenedDate,TargetDate,CompletedDate,EstimatedCost
WO1000,ST005,Escalator,High,2026-08-02,2026-08-06,2026-08-04,6493
WO1001,ST003,Heating,Low,2026-08-01,2026-08-04,2026-08-06,4784
WO1002,ST007,Lighting,Low,2026-08-05,2026-08-08,2026-08-10,8174
WO1003,ST008,Heating,Low,2026-08-07,2026-08-09,2026-08-08,4296
WO1004,ST001,Help point,Medium,2026-08-07,2026-08-10,,4267
WO1005,ST001,Lift,Medium,2026-08-08,2026-08-13,2026-08-11,8051
WO1006,ST003,Heating,High,2026-08-04,2026-08-07,,6412
WO1007,ST004,Heating,Medium,2026-08-07,2026-08-09,2026-08-12,5522
WO1008,ST008,Help point,High,2026-08-08,2026-08-10,2026-08-11,5170
WO1009,ST001,Lighting,Medium,2026-08-10,2026-08-12,2026-08-16,9983
WO1010,ST008,Heating,High,2026-08-10,2026-08-15,2026-08-12,9869
WO1011,ST001,Help point,Low,2026-08-06,2026-08-08,2026-08-12,1780
WO1012,ST003,Heating,High,2026-08-09,2026-08-13,,9243
WO1013,ST002,Escalator,High,2026-08-06,2026-08-08,2026-08-13,601
WO1014,ST003,Escalator,Medium,2026-08-10,2026-08-15,2026-08-15,7457
WO1015,ST002,Escalator,Medium,2026-08-10,2026-08-15,2026-08-11,3872
WO1016,ST005,Lift,High,2026-08-12,2026-08-17,2026-08-21,707
WO1017,ST001,Heating,High,2026-08-12,2026-08-17,2026-08-21,7259
WO1018,ST003,Lighting,Medium,2026-08-09,2026-08-14,2026-08-12,8469
WO1019,ST003,Heating,High,2026-08-10,2026-08-15,2026-08-11,2908
WO1020,ST003,Help point,Medium,2026-08-14,2026-08-17,2026-08-23,2090
WO1021,ST005,Help point,High,2026-08-12,2026-08-14,2026-08-15,6570
WO1022,ST002,Lighting,Low,2026-08-15,2026-08-18,2026-08-23,11860
WO1023,ST007,Heating,High,2026-08-15,2026-08-19,,3129
WO1024,ST007,Lift,Low,2026-08-15,2026-08-17,2026-08-16,1240
WO1025,ST006,Heating,Low,2026-08-19,2026-08-23,,10458
WO1026,ST007,Lift,High,2026-08-17,2026-08-22,2026-08-18,8778
WO1027,ST001,Lighting,Medium,2026-08-15,2026-08-17,2026-08-16,6326
WO1028,ST005,Escalator,High,2026-08-20,2026-08-25,2026-08-24,6235
WO1029,ST001,Lift,High,2026-08-18,2026-08-22,2026-08-23,4706
WO1030,ST007,Escalator,High,2026-08-19,2026-08-21,2026-08-26,7367
WO1031,ST003,Heating,Low,2026-08-23,2026-08-28,2026-08-28,12470
WO1032,ST004,Help point,High,2026-08-21,2026-08-23,2026-08-28,6452
WO1033,ST005,Escalator,Medium,2026-08-22,2026-08-27,2026-08-26,2178
WO1034,ST007,Help point,Medium,2026-08-19,2026-08-21,2026-08-24,1068
WO1035,ST007,Lighting,Medium,2026-08-20,2026-08-25,2026-08-28,8501
WO1036,ST002,Heating,Medium,2026-08-24,2026-08-29,,9466
WO1037,ST005,Help point,High,2026-08-23,2026-08-28,2026-08-29,8519
WO1038,ST007,Help point,High,2026-08-24,2026-08-27,2026-08-29,3819
WO1039,ST001,Help point,High,2026-08-24,2026-08-27,2026-08-31,7894
WO1040,ST002,Help point,High,2026-08-26,2026-08-31,,8919
WO1041,ST005,Lighting,High,2026-08-28,2026-08-31,2026-09-05,6672
WO1042,ST007,Escalator,High,2026-08-24,2026-08-28,2026-08-27,8100
WO1043,ST003,Lighting,High,2026-08-27,2026-09-01,2026-08-29,718
WO1044,ST004,Lift,High,2026-08-25,2026-08-27,,7924
WO1045,ST005,Lift,High,2026-08-30,2026-09-01,2026-09-06,554
