Date,StationID,EnergyKwh,MeterReadQuality,TariffBand
2026-08-03,ST001,2801.9,Actual,Peak
2026-08-03,ST002,1181.4,Estimated,Standard
2026-08-03,ST003,2576.2,Actual,Peak
2026-08-03,ST004,869.8,Estimated,Standard
2026-08-03,ST005,2653.4,Actual,Peak
2026-08-03,ST006,1093.7,Actual,Peak
2026-08-03,ST007,2173.4,Actual,Peak
2026-08-03,ST008,914.9,Estimated,Standard
2026-08-04,ST001,2227.1,Actual,Standard
2026-08-04,ST002,890.9,Actual,Standard
2026-08-04,ST003,2382.4,Actual,Peak
2026-08-04,ST004,785.4,Estimated,Standard
2026-08-04,ST005,2225.8,Actual,Standard
2026-08-04,ST006,1098.4,Estimated,Peak
2026-08-04,ST007,2558.0,Actual,Standard
2026-08-04,ST008,1038.9,Actual,Standard
2026-08-05,ST001,2332.1,Actual,Standard
2026-08-05,ST002,868.3,Actual,Standard
2026-08-05,ST003,2521.7,Actual,Standard
2026-08-05,ST004,962.1,Actual,Standard
2026-08-05,ST005,2630.6,Actual,Standard
2026-08-05,ST006,1029.7,Actual,Standard
2026-08-05,ST007,2698.5,Actual,Standard
2026-08-05,ST008,1090.2,Estimated,Peak
2026-08-06,ST001,2389.5,Actual,Standard
2026-08-06,ST002,828.4,Actual,Standard
2026-08-06,ST003,2538.6,Actual,Standard
2026-08-06,ST004,935.8,Actual,Standard
2026-08-06,ST005,2542.5,Actual,Peak
2026-08-06,ST006,1014.6,Actual,Standard
2026-08-06,ST007,2686.7,Estimated,Standard
2026-08-06,ST008,833.7,Actual,Standard
2026-08-07,ST001,3001.5,Actual,Standard
2026-08-07,ST002,1099.4,Estimated,Standard
2026-08-07,ST003,2649.6,Estimated,Standard
2026-08-07,ST004,970.1,Actual,Standard
2026-08-07,ST005,3363.4,Actual,Peak
2026-08-07,ST006,922.1,Actual,Peak
2026-08-07,ST007,2836.8,Estimated,Peak
2026-08-07,ST008,986.3,Estimated,Peak
2026-08-08,ST001,2321.6,Actual,Standard
2026-08-08,ST002,986.1,Actual,Peak
2026-08-08,ST003,2014.8,Estimated,Standard
2026-08-08,ST004,927.6,Estimated,Standard
2026-08-08,ST005,2068.5,Estimated,Standard
2026-08-08,ST006,792.2,Estimated,Peak
2026-08-08,ST007,2918.1,Actual,Standard
2026-08-08,ST008,976.6,Actual,Standard
2026-08-09,ST001,2629.5,Actual,Peak
2026-08-09,ST002,1045.6,Actual,Standard
2026-08-09,ST003,2632.3,Actual,Standard
2026-08-09,ST004,979.0,Actual,Peak
2026-08-09,ST005,2711.5,Actual,Peak
2026-08-09,ST006,1085.5,Actual,Peak
2026-08-09,ST007,2964.4,Estimated,Standard
2026-08-09,ST008,839.1,Actual,Peak
2026-08-10,ST001,2572.6,Estimated,Standard
2026-08-10,ST002,950.9,Actual,Standard
2026-08-10,ST003,2388.5,Actual,Peak
2026-08-10,ST004,1009.2,Actual,Standard
2026-08-10,ST005,2917.7,Actual,Standard
2026-08-10,ST006,788.5,Actual,Standard
2026-08-10,ST007,2054.2,Actual,Standard
2026-08-10,ST008,835.4,Actual,Peak
2026-08-11,ST001,2769.7,Actual,Standard
2026-08-11,ST002,1070.6,Actual,Standard
2026-08-11,ST003,4149.1,Actual,Standard
2026-08-11,ST004,1070.0,Estimated,Peak
2026-08-11,ST005,2761.1,Actual,Peak
2026-08-11,ST006,1047.6,Actual,Standard
2026-08-11,ST007,3322.1,Actual,Standard
2026-08-11,ST008,966.3,Estimated,Standard
2026-08-12,ST001,2686.0,Actual,Peak
2026-08-12,ST002,1131.5,Actual,Standard
2026-08-12,ST003,4125.6,Actual,Peak
2026-08-12,ST004,877.4,Actual,Peak
2026-08-12,ST005,2472.1,Actual,Standard
2026-08-12,ST006,1053.7,Actual,Standard
2026-08-12,ST007,2245.9,Estimated,Standard
2026-08-12,ST008,1021.0,Actual,Standard
2026-08-13,ST001,2353.3,Actual,Peak
2026-08-13,ST002,856.9,Estimated,Standard
2026-08-13,ST003,2259.5,Estimated,Standard
2026-08-13,ST004,935.7,Actual,Standard
2026-08-13,ST005,2374.3,Actual,Peak
2026-08-13,ST006,781.4,Actual,Standard
2026-08-13,ST007,2754.9,Actual,Peak
2026-08-13,ST008,829.1,Actual,Standard
2026-08-14,ST001,2797.5,Actual,Peak
2026-08-14,ST002,990.2,Estimated,Peak
2026-08-14,ST003,2727.3,Estimated,Peak
2026-08-14,ST004,957.2,Actual,Peak
2026-08-14,ST005,2617.2,Actual,Standard
2026-08-14,ST006,1088.0,Estimated,Peak
2026-08-14,ST007,2150.1,Actual,Peak
2026-08-14,ST008,1072.3,Actual,Standard
2026-08-15,ST001,2350.2,Actual,Peak
2026-08-15,ST002,1042.5,Actual,Standard
2026-08-15,ST003,3335.1,Actual,Peak
2026-08-15,ST004,876.8,Actual,Standard
2026-08-15,ST005,1984.6,Actual,Standard
2026-08-15,ST006,979.7,Estimated,Standard
2026-08-15,ST007,2271.4,Estimated,Standard
2026-08-15,ST008,1098.5,Actual,Peak
2026-08-16,ST001,1987.2,Actual,Peak
2026-08-16,ST002,928.1,Estimated,Standard
2026-08-16,ST003,2954.6,Actual,Standard
2026-08-16,ST004,961.7,Actual,Standard
