Date,StationID,PassengerCount,Entries,Exits
2026-08-03,ST001,29809,14193,15334
2026-08-03,ST002,8974,4515,4664
2026-08-03,ST003,29775,15667,15151
2026-08-03,ST004,9876,4771,5232
2026-08-03,ST005,32780,17146,16883
2026-08-03,ST006,10841,5711,5150
2026-08-03,ST007,28125,13590,13338
2026-08-03,ST008,9201,4557,4478
2026-08-04,ST001,24533,11775,12245
2026-08-04,ST002,8419,4295,4115
2026-08-04,ST003,26633,13823,12995
2026-08-04,ST004,9706,4587,4756
2026-08-04,ST005,31557,15522,16598
2026-08-04,ST006,10849,5661,5626
2026-08-04,ST007,26077,12805,13053
2026-08-04,ST008,8175,4053,4307
2026-08-05,ST001,32505,16345,15278
2026-08-05,ST002,9384,4533,4863
2026-08-05,ST003,28075,14609,13662
2026-08-05,ST004,8229,4015,4060
2026-08-05,ST005,32124,15746,16407
2026-08-05,ST006,8328,4388,4013
2026-08-05,ST007,31049,15665,16284
2026-08-05,ST008,8490,4068,4080
2026-08-06,ST001,28245,13747,14039
2026-08-06,ST002,8452,4253,4146
2026-08-06,ST003,30697,15961,14973
2026-08-06,ST004,8623,4341,4268
2026-08-06,ST005,26744,14110,12728
2026-08-06,ST006,10978,5235,5307
2026-08-06,ST007,24440,11752,12345
2026-08-06,ST008,10071,4998,5155
2026-08-07,ST001,25459,13240,13463
2026-08-07,ST002,9418,4984,4874
2026-08-07,ST003,29902,15178,15646
2026-08-07,ST004,9309,4473,4715
2026-08-07,ST005,28977,15291,14819
2026-08-07,ST006,10134,4842,5316
2026-08-07,ST007,28276,13910,14631
2026-08-07,ST008,8582,4415,4113
2026-08-08,ST001,17929,9273,8688
2026-08-08,ST002,6803,3439,3381
2026-08-08,ST003,19283,9556,9187
2026-08-08,ST004,7338,3489,3486
2026-08-08,ST005,19606,10211,9626
2026-08-08,ST006,6226,3084,3152
2026-08-08,ST007,21647,10198,11370
2026-08-08,ST008,7268,3733,3773
2026-08-09,ST001,20233,9893,10043
2026-08-09,ST002,7309,3480,3829
2026-08-09,ST003,21717,10330,11090
2026-08-09,ST004,6612,3384,3263
2026-08-09,ST005,19245,9434,9930
2026-08-09,ST006,7670,3826,3775
2026-08-09,ST007,18770,9268,9243
2026-08-09,ST008,7010,3443,3534
2026-08-10,ST001,28954,13684,14280
2026-08-10,ST002,9561,5029,4789
2026-08-10,ST003,28537,14139,14149
2026-08-10,ST004,8344,3993,4225
2026-08-10,ST005,24768,13068,11679
2026-08-10,ST006,11169,5819,5726
2026-08-10,ST007,29207,14269,15479
2026-08-10,ST008,8931,4483,4466
2026-08-11,ST001,28542,13834,14797
2026-08-11,ST002,9441,4869,4719
2026-08-11,ST003,30924,15560,14670
2026-08-11,ST004,11181,5632,5573
2026-08-11,ST005,31023,14837,14966
2026-08-11,ST006,9230,4655,4638
2026-08-11,ST007,25997,12388,13374
2026-08-11,ST008,11009,5792,5809
2026-08-12,ST001,25807,12417,13269
2026-08-12,ST002,8526,4496,4251
2026-08-12,ST003,30865,15904,16123
2026-08-12,ST004,9432,4445,4577
2026-08-12,ST005,30009,15891,14811
2026-08-12,ST006,9577,4765,4590
2026-08-12,ST007,30381,15262,15654
2026-08-12,ST008,10558,5078,5303
2026-08-13,ST001,27063,12910,14342
2026-08-13,ST002,10485,5281,5067
