Date,StationID,PassengerCount,EnergyKwh,WeatherDescription,TemperatureC,TariffBand,MeterReadQuality
2026-08-03,ST001,29809,2120.1,Clear,22.3,Standard,Actual
2026-08-03,ST002,9014,951.2,Cloudy,26.2,Standard,Estimated
2026-08-03,ST003,31843,2765.5,Heavy rain,14.0,Green,Actual
2026-08-03,ST004,10787,951.1,Cloudy,20.3,Standard,Actual
2026-08-03,ST005,28145,2386.3,hot,24.8,Peak,Actual
2026-08-03,ST006,9789,985.9,Cloudy,11.3,Peak,Actual
2026-08-03,ST007,26131,2263.0,Clear,24.5,Green,Actual
2026-08-03,ST008,10711,1079.4,Clear,25.7,Standard,Estimated
2026-08-04,ST001,30781,2523.0,Clear,9.9,Peak,Actual
2026-08-04,ST002,11014,997.3,Clear,17.2,Standard,Actual
2026-08-04,ST003,28819,2409.4,hot,23.7,Green,Actual
2026-08-04,ST004,8933,1025.7, COLD ,9.9,Standard,Actual
2026-08-04,ST005,29641,2369.3,Cloudy,25.7,Standard,Actual
2026-08-04,ST006,9381,1308.6,Rain,24.6,Standard,Actual
2026-08-04,ST007,25113,2986.1,Rain,12.2,Green,Actual
2026-08-04,ST008,8556,1013.4,Heavy rain,21.0,Peak,Actual
2026-08-05,ST001,26092,2247.2,Cloudy,11.7,Standard,Actual
2026-08-05,ST002,11173,942.9,Hot,14.7,Standard,Estimated
2026-08-05,ST003,26402,2395.3,Cloudy,24.1,Green,Estimated
2026-08-05,ST004,9077,1304.7,Heavy rain,24.4,Standard,Actual
2026-08-05,ST005,32206,1995.5,Hot,19.2,Peak,Estimated
2026-08-05,ST006,8680,1046.8,Hot,26.3,Standard,Actual
2026-08-05,ST007,24193,2696.6,Heavy rain,23.8,Green,Actual
2026-08-05,ST008,8433,1035.9,Heavy rain,13.4,Peak,Estimated
2026-08-06,ST001,30458,2687.1,Heavy rain,23.3,Standard,Estimated
2026-08-06,ST002,9070,917.1,Rain,12.2,Peak,Actual
2026-08-06,ST003,25439,2153.8, COLD ,19.1,Green,Actual
2026-08-06,ST004,10564,953.8,hot,19.6,Standard,Estimated
2026-08-06,ST005,28014,2808.7,Heavy rain,21.4,Standard,Estimated
2026-08-06,ST006,9495,794.4, COLD ,17.9,Standard,Estimated
2026-08-06,ST007,26898,3200.8,Rain,11.1,Green,Actual
2026-08-06,ST008,8897,777.1,Cloudy,14.6,Standard,Actual
2026-08-07,ST001,31158,2868.1,Heavy rain,15.1,Standard,Actual
2026-08-07,ST002,10636,1257.1,Heavy rain,26.8,Peak,Actual
2026-08-07,ST003,31711,2285.2, COLD ,21.1,Green,Actual
2026-08-07,ST004,9061,977.8,Rain,16.8,Standard,Actual
2026-08-07,ST005,28248,2443.0,Rain,21.2,Standard,Actual
2026-08-07,ST006,10057,945.6,hot,22.6,Peak,Actual
2026-08-07,ST007,25879,2535.7, COLD ,18.7,Green,Actual
2026-08-07,ST008,8246,910.4,Hot,14.9,Peak,Actual
2026-08-08,ST001,23061,2192.2,Cloudy,16.0,Peak,Estimated
2026-08-08,ST002,6601,1016.1,Cloudy,23.2,Standard,Actual
2026-08-08,ST003,17675,2045.0,hot,16.6,Green,Actual
2026-08-08,ST004,6875,951.3,Hot,16.7,Standard,Actual
2026-08-08,ST005,22044,2785.3,Rain,16.7,Standard,Actual
2026-08-08,ST006,6686,824.6, COLD ,14.0,Standard,Actual
2026-08-08,ST007,19923,2535.9,Cloudy,22.3,Green,Actual
2026-08-08,ST008,5981,1039.1,Heavy rain,26.7,Standard,Actual
2026-08-09,ST001,21647,3268.2,Rain,10.3,Standard,Estimated
2026-08-09,ST002,7533,926.3, COLD ,19.4,Peak,Actual
2026-08-09,ST003,22855,2199.9,Hot,19.7,Green,Actual
2026-08-09,ST004,6698,1117.7,Rain,16.0,Peak,Actual
2026-08-09,ST005,20943,2738.6,hot,23.2,Peak,Actual
2026-08-09,ST006,7362,1019.8,Cloudy,26.5,Peak,Estimated
2026-08-09,ST007,18625,2377.8,Hot,11.5,Green,Estimated
2026-08-09,ST008,7305,876.5, COLD ,11.6,Standard,Actual
2026-08-10,ST001,26209,2486.6,Clear,9.9,Peak,Estimated
2026-08-10,ST002,10404,1127.0,Rain,11.4,Standard,Actual
2026-08-10,ST003,25288,2241.8,hot,23.0,Green,Actual
2026-08-10,ST004,8718,934.4,Rain,14.8,Peak,Actual
2026-08-10,ST005,28006,2716.3,Cloudy,10.2,Standard,Actual
2026-08-10,ST006,9663,885.4,Clear,11.4,Standard,Estimated
2026-08-10,ST007,30437,2489.8,Hot,18.8,Green,Actual
2026-08-10,ST008,8538,926.2,Cloudy,23.3,Standard,Actual
2026-08-11,ST001,24740,2640.1,Rain,20.6,Peak,Actual
2026-08-11,ST002,8308,833.2,hot,22.9,Standard,Estimated
2026-08-11,ST003,25177,4203.0,Heavy rain,13.5,Green,Actual
2026-08-11,ST004,8194,971.3,Clear,16.8,Peak,Actual
2026-08-11,ST005,29036,2237.6,Clear,16.0,Peak,Actual
2026-08-11,ST006,9610,1286.8,Heavy rain,11.7,Standard,Actual
2026-08-11,ST007,29309,2776.3, COLD ,25.2,Green,Actual
2026-08-11,ST008,11078,1124.1,Heavy rain,25.4,Standard,Actual
2026-08-12,ST001,32106,3338.4,Heavy rain,23.7,Standard,Actual
2026-08-12,ST002,10109,949.6,Clear,10.8,Standard,Actual
2026-08-12,ST003,26753,4982.8,Hot,10.9,Green,Actual
2026-08-12,ST004,9736,795.3,Clear,16.2,Standard,Estimated
2026-08-12,ST005,32100,2374.8,hot,22.9,Peak,Actual
2026-08-12,ST006,10349,1173.7,Heavy rain,10.6,Standard,Estimated
2026-08-12,ST007,25692,2539.6,Cloudy,22.8,Green,Estimated
2026-08-12,ST008,10374,1032.2,Clear,9.6,Peak,Actual
2026-08-13,ST001,31412,2061.9,Cloudy,14.4,Peak,Actual
2026-08-13,ST002,10321,786.9, COLD ,17.3,Standard,Estimated
2026-08-13,ST003,31870,2949.9,Rain,14.5,Green,Actual
2026-08-13,ST004,10366,1095.9, COLD ,24.1,Standard,Actual
2026-08-13,ST005,28553,2433.9,hot,26.0,Standard,Estimated
2026-08-13,ST006,8190,777.7,Hot,16.4,Peak,Actual
2026-08-13,ST007,30327,2908.7,Rain,21.3,Green,Actual
2026-08-13,ST008,10250,1189.4,Rain,25.2,Standard,Actual
2026-08-14,ST001,24761,2526.2,Hot,22.8,Standard,Actual
2026-08-14,ST002,8639,941.4,Heavy rain,14.7,Standard,Actual
2026-08-14,ST003,24838,2844.3,Hot,25.3,Green,Actual
2026-08-14,ST004,10649,906.9, COLD ,20.7,Standard,Actual
2026-08-14,ST005,31121,3043.0,Rain,11.0,Peak,Actual
2026-08-14,ST006,-240,1075.0,Rain,12.0,Peak,Estimated
2026-08-14,ST007,30266,1994.0,Cloudy,15.2,Green,Actual
2026-08-14,ST008,9372,818.1,hot,20.1,Peak,Estimated
2026-08-15,ST001,22587,2806.1,hot,23.4,Peak,Actual
2026-08-15,ST002,7436,935.1,Heavy rain,17.8,Standard,Actual
2026-08-15,ST003,23784,2918.4,Heavy rain,13.7,Green,Actual
2026-08-15,ST004,6193,866.6,hot,13.8,Standard,Actual
2026-08-15,ST005,22681,2424.5,Rain,18.9,Standard,Actual
2026-08-15,ST006,6062,908.3,hot,25.3,Standard,Actual
2026-08-15,ST007,21724,2437.7,Clear,9.1,Green,Actual
2026-08-15,ST008,7764,901.9,Clear,25.1,Standard,Estimated
2026-08-16,ST001,20624,2349.6,hot,16.1,Standard,Estimated
2026-08-16,ST002,6062,808.1,Hot,18.7,Standard,Actual
2026-08-16,ST003,22115,2305.5,Clear,9.2,Green,Actual
2026-08-16,ST004,6274,1068.0, COLD ,9.6,Peak,Estimated
2026-08-16,ST005,23607,2399.0, COLD ,23.0,Peak,Actual
2026-08-16,ST006,6194,1295.2,Rain,10.7,Peak,Estimated
2026-08-16,ST007,18865,3316.8,Rain,24.3,Green,Estimated
2026-08-16,ST008,7748,1038.7,Clear,11.8,Peak,Actual
2026-08-17,ST001,29727,2593.1,hot,10.5,Standard,Actual
2026-08-17,ST002,9245,873.7,Cloudy,13.9,Standard,Actual
2026-08-17,ST003,28372,2058.5,Clear,14.0,Green,Actual
2026-08-17,ST004,8923,956.5,Cloudy,13.8,Peak,Actual
2026-08-17,ST005,32459,2115.3, COLD ,12.1,Standard,Actual
2026-08-17,ST006,10311,796.6,hot,16.1,Standard,Actual
2026-08-17,ST007,32749,2039.6,Cloudy,20.5,Green,Estimated
2026-08-17,ST008,8316,1169.0,Heavy rain,22.2,Standard,Estimated
2026-08-18,ST001,29259,2073.0, COLD ,21.4,Standard,Actual
2026-08-18,ST002,9065,881.4,hot,20.3,Standard,Actual
2026-08-18,ST003,30060,2442.3,Clear,21.0,Green,Estimated
2026-08-18,ST004,8553,1224.8,Heavy rain,10.4,Standard,Actual
