Date,StationID,WeatherDescription,TemperatureC,RainfallMm
2026-08-03,ST001,Rain,9.5,9.8
2026-08-03,ST002,Heavy rain,9.8,11.1
2026-08-03,ST003,Rain,15.6,11.0
2026-08-03,ST004,Hot,13.7,1.0
2026-08-03,ST005,Clear,24.5,1.5
2026-08-03,ST006,Rain,24.0,8.7
2026-08-03,ST007,Clear,13.5,1.3
2026-08-03,ST008,Cloudy,24.5,0.5
2026-08-04,ST001, COLD ,27.0,0.4
2026-08-04,ST002,Hot,20.8,0.5
2026-08-04,ST003,Hot,16.9,1.3
2026-08-04,ST004, COLD ,13.5,0.3
2026-08-04,ST005,Cloudy,19.5,1.9
2026-08-04,ST006,hot,9.4,0.5
2026-08-04,ST007,Heavy rain,20.9,12.2
2026-08-04,ST008,Hot,25.7,1.8
2026-08-05,ST001,Cloudy,21.2,0.6
2026-08-05,ST002,hot,11.7,1.4
2026-08-05,ST003, COLD ,11.9,1.6
2026-08-05,ST004,Hot,24.9,1.8
2026-08-05,ST005,Rain,17.8,7.3
2026-08-05,ST006,Cloudy,26.1,0.0
2026-08-05,ST007,Rain,11.9,6.8
2026-08-05,ST008,hot,26.3,1.0
2026-08-06,ST001,Hot,23.9,1.5
2026-08-06,ST002,hot,13.0,2.0
2026-08-06,ST003,Hot,14.0,0.7
2026-08-06,ST004,Rain,19.1,10.7
2026-08-06,ST005,Heavy rain,19.6,13.7
2026-08-06,ST006,hot,23.2,0.3
2026-08-06,ST007,Heavy rain,22.6,11.4
2026-08-06,ST008,Cloudy,22.7,0.2
2026-08-07,ST001,Rain,25.8,4.4
2026-08-07,ST002,Heavy rain,14.7,11.7
2026-08-07,ST003, COLD ,24.3,1.0
2026-08-07,ST004,Hot,11.6,0.8
2026-08-07,ST005,Rain,10.3,8.2
2026-08-07,ST006,Heavy rain,14.6,5.9
2026-08-07,ST007, COLD ,10.4,0.0
2026-08-07,ST008,hot,17.2,0.8
2026-08-08,ST001,hot,12.8,0.3
2026-08-08,ST002,Clear,11.0,0.4
2026-08-08,ST003,Clear,20.6,1.4
2026-08-08,ST004,Cloudy,15.7,0.9
2026-08-08,ST005,Cloudy,19.4,1.1
2026-08-08,ST006,hot,20.1,0.8
2026-08-08,ST007,Heavy rain,15.4,15.5
2026-08-08,ST008,Cloudy,18.6,1.6
2026-08-09,ST001,Hot,25.6,0.9
2026-08-09,ST002,Heavy rain,14.8,6.2
2026-08-09,ST003,hot,9.9,0.6
2026-08-09,ST004,Cloudy,19.5,1.2
2026-08-09,ST005,Hot,23.2,0.3
2026-08-09,ST006,Cloudy,23.4,1.9
2026-08-09,ST007,Rain,17.1,7.0
2026-08-09,ST008,Cloudy,13.4,0.4
2026-08-10,ST001,Hot,23.2,0.7
2026-08-10,ST002,Clear,14.3,2.0
2026-08-10,ST003,Hot,25.6,2.0
2026-08-10,ST004,Heavy rain,21.1,14.1
2026-08-10,ST005,Rain,11.5,3.3
2026-08-10,ST006,hot,21.0,1.9
2026-08-10,ST007,Hot,17.4,1.4
2026-08-10,ST008,Hot,20.4,0.3
2026-08-11,ST001,Rain,20.3,7.3
2026-08-11,ST002,Cloudy,26.3,1.0
2026-08-11,ST003,Heavy rain,15.6,9.1
2026-08-11,ST004,Rain,22.3,0.3
2026-08-11,ST005, COLD ,25.6,0.7
2026-08-11,ST006, COLD ,25.8,1.8
2026-08-11,ST007,Rain,23.9,4.3
2026-08-11,ST008, COLD ,9.7,1.9
2026-08-12,ST001,Cloudy,11.0,1.6
2026-08-12,ST002,Rain,25.5,8.2
2026-08-12,ST003, COLD ,23.4,0.2
2026-08-12,ST004,Hot,19.2,0.0
2026-08-12,ST005,hot,18.7,0.3
2026-08-12,ST006,Heavy rain,21.9,3.4
2026-08-12,ST007,hot,9.9,1.6
2026-08-12,ST008,Heavy rain,14.7,4.3
2026-08-13,ST001,Clear,26.2,1.0
2026-08-13,ST002,Cloudy,14.8,0.3
2026-08-13,ST003, COLD ,13.6,0.3
2026-08-13,ST004,hot,9.3,0.9
2026-08-13,ST005,Heavy rain,15.8,7.8
2026-08-13,ST006,hot,18.8,1.5
2026-08-13,ST007,Cloudy,10.8,0.8
2026-08-13,ST008, COLD ,20.1,1.6
2026-08-14,ST001,Hot,10.5,0.3
2026-08-14,ST002,Rain,16.2,5.0
2026-08-14,ST003, COLD ,10.2,0.5
